Rate,Rate,Rate,density,recip,jumpXTransTrip
3.3485751135274224,2.486955617770428,2.20550724045913,-4.986566082125886,4.944869918508345,-0.5366371320423653
3.3600775332645125,2.4954507386702747,2.2299692987257447,-4.989519843627151,4.965029930115817,-0.6331238510985558
3.3484208988226207,2.4751999759692924,2.222988911413492,-4.977781310660926,4.969845080799129,0.04708729806068616
3.324073397991333,2.4658018485667155,2.2222715559946455,-4.947892973823329,4.908583567620336,-0.7375983817470776
3.3491776952399874,2.4961785239514023,2.228783375797576,-4.996272916206079,4.9741592929960605,-0.3433870677990545
3.3858894895788834,2.5219077125315073,2.2356204961205584,-5.036703331072579,5.039056577409012,-1.3247776518609002
3.3614753709265095,2.4972271526348746,2.2264412674399794,-4.991236791831408,4.964157287272232,-1.6194910034345047
3.3595550809406065,2.5038211647179387,2.2280956965549286,-4.999797649998393,4.990333098276093,0.013493827150334682
3.3449414494882723,2.4814957660209944,2.2390863483413557,-4.97994572654653,4.9466015977025455,-1.7334325056355475
3.374929121895583,2.5214849347736337,2.2631056803842826,-5.038824724877986,5.040769808853438,-0.8312432967858603
3.335692703156776,2.4841978202707518,2.224002929599851,-4.97841130861711,4.957579280426808,-1.7257365753225644
3.366228645634971,2.501717453407719,2.2474397452840287,-5.030637915076725,5.052894839970478,-1.5662480383629438
3.337096833249256,2.4898589829584963,2.2378929534695784,-4.988368656447636,4.978426330996393,-0.8131444006134719
3.363334036993627,2.4735685108032586,2.234529279515021,-5.006286915267614,4.983744149184904,-1.642475905049962
3.298226873091691,2.470314928827134,2.2118123512529113,-4.947029131420433,4.892399435876276,-1.9816812470214127
3.3395810392801533,2.466031245963287,2.2409370087868834,-4.9855128843001735,4.975441441877307,-0.34512686652205515
3.3699237689536967,2.4919831030698583,2.2466653039660067,-5.018048297570734,5.01220899548656,-1.8053068690801597
3.3277437647193735,2.4673553189631243,2.235452669571568,-4.962943547042262,4.916388734823391,-0.563178273988579
3.3580849019953702,2.514667509892142,2.229613541640107,-5.013844220546331,5.000720349178978,-0.9211200209398406
3.3614006747488925,2.4921651889532876,2.23495591473486,-4.990378900215489,4.9647981741196245,-2.0676893866622548
3.355479401054691,2.478235815598462,2.2336891170463873,-4.996217339144652,4.987805840123103,-0.2990507709409096
3.3711785720053644,2.5078423753904264,2.2419058567375574,-5.033828347891552,5.050347212542859,-1.0835785818131634
3.3256399282382607,2.485067799395981,2.2147636585781836,-4.9706313427987014,4.950278571611858,-1.8733828540646411
3.3744312197840443,2.5186883966532108,2.241091808864807,-5.024215629664038,5.020995229378146,-1.2117820540686852
3.3628760166961236,2.495448037295076,2.237665117860247,-5.0109709129061715,5.000124387737864,-2.007474688471623
3.3403099723738765,2.4882699866196942,2.208887556465715,-4.988989188124134,4.964538039999602,-1.589648462052535
3.3461676395276134,2.4837053905506083,2.2344983234781113,-5.001696361688922,4.977651217568126,-0.6943648833502509
3.345740154138369,2.494894558656467,2.227736500195322,-4.9943422518987255,4.970540987029579,-1.2778216643316673
3.3403692968313714,2.4690986306875033,2.210038769172755,-4.979800874852911,4.944522943908132,-0.76195523889546235
3.339675692113361,2.4730445291841896,2.2113731938484613,-4.965582764279866,4.931556854064531,-1.814577957715342
3.345563574399094,2.4919684436342595,2.2303179242037237,-5.003066039004428,4.995141305975255,0.7845489775297719
3.3452151438354165,2.4761295702684856,2.204602556120529,-4.975552931219026,4.967980090422001,-2.1778954021105035
3.3584031679339916,2.488812927557381,2.226684621616322,-4.976220790479352,4.960403570189869,-1.6150239286184886
3.33769887595614,2.4841300587484088,2.206456826969177,-4.99135225802502,4.9521255843783205,-1.4850482632040742
