Rate,Rate,Rate,density,recip
3.3291358887334983,2.484651430786333,2.1980968423483276,-4.953335346079007,4.908809128880513
3.3219213258137112,2.469699624702861,2.2179363366174587,-4.917080480052603,4.870533329901463
3.3360631774172904,2.4870827092791714,2.238450597647359,-4.96901358034916,4.946932207946187
3.343858108121172,2.468887579653588,2.2241424810831227,-4.986459054948143,4.970443859705554
3.3430830643164873,2.48024175877758,2.2300990319469385,-4.981373070879314,4.948893878265436
3.3116174878040288,2.449725969742295,2.2109138176032044,-4.948944280988989,4.889806865471072
3.3589578127820223,2.513706910414153,2.2353928684536983,-5.004487408833507,4.989743579582826
3.3484690678806444,2.507657083550556,2.213914990446327,-5.010595149484244,5.002451348895639
3.350609834153613,2.484137019217839,2.23376115732731,-5.023839742163585,5.014701725698338
3.345354894776497,2.4528140509202645,2.1991804598443614,-4.960301811186568,4.896485688291219
3.3687255689065063,2.484949232813911,2.239940376048935,-5.012189082567493,4.994755923937877
3.3570996285129535,2.4916932820425473,2.2257819669018697,-4.99107731571985,4.958576112488631
3.317594156157946,2.4600295738645173,2.184249409860447,-4.92460139730898,4.856169110023193
3.337155927931366,2.4670468471571008,2.2171207301763443,-4.980078910159195,4.967386408777589
3.373467060991606,2.5016332367362577,2.25468989091036,-5.0121464557204405,5.026519213419696
3.3471086274155315,2.475445854997984,2.2383414123877423,-4.9734679839116245,4.936147277317517
3.329751228811464,2.475997376372128,2.210695041904589,-4.954909351366745,4.941617490782673
3.3491127569737205,2.476687559215889,2.2129887339059784,-4.9847388645598025,4.948584684213989
3.358108265206467,2.4578919656659837,2.216273324332023,-4.961418488175684,4.912437528089409
3.3479461603308374,2.4937375074639845,2.2247974374123474,-4.980915660223131,4.956424875268781
3.3517648867164778,2.468322539035001,2.176736153995478,-4.948218784318662,4.880133584560416
3.3299476498871337,2.462950101027571,2.193891691781804,-4.96115589454277,4.922266912704158
3.3109760379388113,2.466660991793742,2.1948005757773337,-4.930136962505871,4.898972257438302
3.352874102231496,2.4861483296571842,2.206842103167664,-4.989241175097606,4.993874374655089
3.3222635732956896,2.4611159975782995,2.20073048021299,-4.943839294485773,4.906781406692147
3.3310891684196524,2.4563016312009864,2.2143269001536585,-4.953598773809851,4.903020443653032
3.30727832032941,2.457795158142947,2.1959045172093705,-4.93351435477067,4.875115145698439
3.35873305665531,2.5036412678416933,2.22251405738889,-4.995426186845084,4.977852820344073
3.3673892408881403,2.4525288432316206,2.214585404558017,-4.969406782313267,4.961744804181076
3.322059491520341,2.4834961822892963,2.2331209106704133,-4.995681261615989,4.9993917438012
3.3306085203472735,2.463819494038193,2.212005062723848,-4.9445309354848765,4.895214630407761
3.3212386989517357,2.465938531062616,2.21930990537014,-4.945529090782824,4.905517472006887
3.349878975871441,2.465324420711243,2.213672161991398,-4.967959046717991,4.949360384809293
3.363805347884891,2.4658779575824763,2.2454268334699137,-4.98486464220545,4.962765897313332
3.3400450931531234,2.471390334586856,2.224362521769891,-4.965428679369738,4.903245719459056
3.354330228458585,2.4707118382325044,2.2148438912529964,-4.981987601299156,4.954316541304959
3.3248500070446965,2.4875992449148394,2.2294924763184247,-4.985565908296827,4.9818496391381935
3.355945091921529,2.4970982945531968,2.234861271245247,-4.997266143629216,4.989859283182519
3.3619962058412636,2.4875634313235047,2.2208384846313454,-5.007756915802873,4.978971364023579
3.344730752824119,2.462362652374758,2.21860172995768,-4.964659811718907,4.920758370822452
3.3418299766453803,2.450732440509128,2.2000654080657887,-4.943440636606028,4.915962930666202
3.4034248033367036,2.5230809163359833,2.2655430332131496,-5.054529556435266,5.095130593697526
3.368867833832338,2.4876583941395567,2.2220370618433414,-5.005197382655042,4.9897482330440965
3.325007714618819,2.468254445098272,2.1974062676622848,-4.9326047095818595,4.902634558791142
3.331025783714845,2.468790930801673,2.2149365087094814,-4.972974190812335,4.9512817030770275
3.359179086076581,2.4847111746302626,2.2345904708069746,-4.98438515836317,4.968160462672026
3.3423237216438615,2.4825405670728298,2.206570064638253,-4.988168894120748,4.9778286427521286
3.355144986389613,2.483236499822085,2.2056709676264217,-4.978421369374925,4.962655693134365
3.3474217596238693,2.4699571194804095,2.209726970306544,-4.957501274523799,4.912190259001923
3.3393435671949807,2.4723452485471937,2.212044176443889,-4.956568064551978,4.913816662620581
3.3355072503922734,2.462560899422498,2.2045137846528435,-4.952313076140007,4.887153032335223
3.374939395918139,2.51359227889783,2.2494450745906187,-5.018055836278638,5.01721030453384
3.3518321263362907,2.4872560212045864,2.216154985259684,-4.983671103520885,4.981980103733526
3.342359236935073,2.4698439852047995,2.2237625907002645,-4.977894818728719,4.943805815536359
3.3451795802570694,2.489179289274228,2.253073712609238,-5.023138099947909,5.0365705961566
3.3553350329903346,2.48404901124767,2.2283982807591194,-4.979741355587877,4.961489329817867
3.340055499019583,2.47981348806709,2.2096227992921533,-4.985300607846661,4.990449190896242
3.3522354383604003,2.491761653878034,2.239682070415643,-5.009013396167701,4.990358790327345
3.3241661190846834,2.482012930667512,2.2268476145634097,-4.981356798871466,4.9745842241064855
3.34399801574847,2.4647404227877634,2.2156169711049367,-4.977695578044535,4.941394776440202
3.3463759874020833,2.490862537530839,2.228571166012731,-4.978580477524087,4.943557506372139
3.3527432658992935,2.4906281666303838,2.2292072044856304,-5.017273760327071,5.039726090375322
3.329207235327514,2.5030970657687037,2.230002837073846,-4.972873216086538,4.940559114985722
3.3456567721155053,2.4911726476229945,2.197468732274178,-4.970821928422685,4.944641890943149
3.3534469778239995,2.5023998595055184,2.225617683549838,-5.004176638180711,5.003446085457193
3.3275923135097116,2.4829005932416104,2.2119647981686072,-4.953307832333824,4.911306487460384
3.319496233864722,2.4869207811876257,2.2063575118094514,-4.950958928884902,4.894714780929811
3.347087819271815,2.4642457276997445,2.2007735250885365,-4.957163368519898,4.911964316976395
3.3359068643293472,2.4881938351824258,2.2330618383343306,-4.980154108567421,4.949364309164734
3.3471840457678637,2.4907509027249004,2.2136686465479496,-5.001792925579915,4.990310512049898
3.3370854679769844,2.4931945135819547,2.2230025792193917,-4.997303598455767,4.98404172344448
3.328246548992219,2.4788391140625192,2.210961540525901,-4.978921763585854,4.958392130946516
3.3412329611114227,2.4756935632173716,2.2211676679327588,-4.9555056313867745,4.921733347001445
3.344574202657884,2.4962547758934828,2.2440704364664565,-5.009342898143493,4.98958858148282
3.346603702301092,2.482578143401422,2.234293661337678,-5.012954762025271,5.010439631725017
3.369730767542975,2.53070587101226,2.2678602879253527,-5.049797114834258,5.057923419870031
3.333091306922767,2.4537928676577914,2.2063137511451676,-4.940429917211866,4.8829152484486595
3.340046596649922,2.4716594696747034,2.233080792382629,-4.983559619002918,4.963458636292418
3.361606955329216,2.4834863330556556,2.211140232149298,-4.96570028971091,4.9408264770734425
3.338136756704305,2.4525069947338185,2.2020703604829834,-4.938241712652526,4.876531299821269
3.34348697323902,2.4533715689038744,2.2041492765591926,-4.952551825614218,4.909157549331092
3.337627363049965,2.466278564121289,2.2147030041821028,-4.953331434524545,4.905862239848349
3.340364614971721,2.476496691419755,2.2178094336371372,-4.96268915894501,4.923455965274094
3.3585714527347514,2.4865653231436684,2.2050631322793253,-4.9861392023387054,4.981143207427565
3.3479441046630343,2.4709884268030504,2.208079820337356,-4.981165052818332,4.966094879640145
