source,gsw,nfw,raw,target,born,icpsr,n_au,n_bills,n_co,nyears,party,sex,state,thomas,senate
Debbie Ann Stabenow,0.2641509433962264,0.5,1,Scott Brown,1950,29732,46,410,364,6,DEM,F,MI,01531,111
Dianne Feinstein,0.2641509433962264,0.5,1,Scott Brown,1933,49300,67,355,288,15,DEM,F,CA,01332,111
Dianne Feinstein,1,0.04020296643247463,2,Hillary Rodham Clinton,1933,49300,67,355,288,15,DEM,F,CA,01332,111
Dianne Feinstein,0.5832537169500248,16.133278355966713,27,Barbara Boxer,1933,49300,67,355,288,15,DEM,F,CA,01332,111
Edward E. Kaufman,0.5922330097087378,0.023809523809523808,1,Hillary Rodham Clinton,1939,40901,16,206,190,0,DEM,M,DE,01964,111
Edward M. Kennedy,1,0.04020296643247463,2,Hillary Rodham Clinton,1932,10808,14,161,147,45,DEM,M,MA,01377,111
Evan Bayh,NA,NA,NA,NA,1955,49901,19,226,207,6,DEM,M,IN,01572,111
Frank R. Lautenberg,1,0.04020296643247463,2,Hillary Rodham Clinton,1924,14914,49,366,317,27,DEM,M,NJ,01381,111
George S. LeMieux,NA,NA,NA,NA,1969,40911,6,131,125,0,REP,M,FL,01971,111
George V. Voinovich,0.26833484847395994,0.21765543824367353,4,Jim Bunning,1936,49903,47,251,204,6,REP,M,OH,01575,111
George V. Voinovich,0.7229587833210112,46,46,Sherrod Brown,1936,49903,47,251,204,6,REP,M,OH,01575,111
Harry M. Reid,0.9207220131355113,3.01010101010101,4,Mitch McConnell,1939,15054,87,201,114,18,DEM,M,NV,00952,111
Harry M. Reid,0.26813036802764745,3.2,4,John Eric Ensign,1939,15054,87,201,114,18,DEM,M,NV,00952,111
Harry M. Reid,0.5922330097087378,0.023809523809523808,1,Hillary Rodham Clinton,1939,15054,87,201,114,18,DEM,M,NV,00952,111
Herbert H. Kohl,NA,NA,NA,NA,1935,15703,41,173,132,18,DEM,M,WI,01380,111
Hillary Rodham Clinton,NA,NA,NA,NA,1947,40105,2,19,17,6,DEM,F,NY,01631,111
James M. Inhofe,0.26038520700069406,1.3568792766373412,11,Jim W. DeMint,1934,15424,23,222,199,15,REP,M,OK,00583,111
James Risch,0.47430489687968386,5.563833826991722,16,Michael D. Crapo,1943,40902,4,205,201,0,REP,M,ID,01896,111
James Risch,0.2696582814274407,1.5547619047619048,5,Orrin G. Hatch,1943,40902,4,205,201,0,REP,M,ID,01896,111
