Rate,Rate,Rate,density,recip,nbrDist2twice
3.3336572252189023,2.496115312196718,2.231249945731551,-4.994763280854793,4.975614454670219,-0.46760233980666355
3.31699347062707,2.4788962810565733,2.2122054348566196,-4.962196626079845,4.934685128514336,-1.0141500741390896
3.357550230731772,2.503455567596952,2.2527987566898773,-5.028716224433546,5.028121856703307,-1.4515074192004798
3.334541447581352,2.479663675809314,2.2249446323517734,-4.98635733050057,4.978233713110197,-1.3660835866020822
3.347553317890877,2.507457364741252,2.243794109586811,-4.999496527590587,5.012705429613921,-1.3910877074024033
3.3452087668416737,2.48544061441055,2.22197257219559,-5.006648652860666,4.992471093821786,-0.9497738085517543
3.337875064939882,2.4708199220477294,2.221960280600386,-4.9846472093092995,4.970441619351839,-1.579620480830514
3.3533713925361237,2.498625991833576,2.20964747208086,-4.991819624479692,4.970369733779967,-1.3958289762032738
3.356106675792833,2.4848306089645704,2.2004739830734934,-4.97724692740043,4.9493641811432125,-1.9534989572746713
3.3153190999078337,2.504132507357108,2.236812072997813,-4.99417737184245,4.964017044089746,-1.035146432111739
3.338666777852532,2.477220961120679,2.2131660637403323,-4.966090575671962,4.938193075569213,-1.25798050442901
3.3599202119538636,2.498442440242706,2.2342582668977644,-4.997393151229578,4.984251552706134,-0.6668025753643799
3.325038105653124,2.467173612846467,2.2025329989430595,-4.958484950143738,4.936431992988305,-1.2490163130558216
3.336117553728167,2.481084221900997,2.197414236803527,-4.986200389170045,4.9826587925422245,-1.2045160754669435
3.353338188193808,2.4796213105828264,2.2163843822925897,-4.986060149751077,4.973130504255617,-0.1540893427673331
3.3293413147578907,2.4742711903842687,2.2308324260871446,-4.9941364487173825,4.9626653782315575,-1.4555971761877518
3.3539238265079314,2.501869469493615,2.2335163126405866,-5.02241669502852,5.017372609018687,-1.9599670184209979
3.343189422044269,2.494696872219224,2.2177157377651566,-4.9840795410614,4.969979213196826,-0.6240490411961678
3.3497468989644115,2.471776481033128,2.1954400816951662,-4.960401921672953,4.925429697885769,-0.006011611287309955
3.3298472675483106,2.4714306381035955,2.204531858667998,-4.953887506020415,4.904952429223313,-2.422948099650091
3.3731287582251297,2.507883012328484,2.234044248092865,-5.00534239125617,4.99109612082114,0.3847880433625683
3.345235514715547,2.4904989702412457,2.2331697930910854,-5.005297742862374,4.989461583661838,-1.0682202164025891
3.3546557689039527,2.4894938748064557,2.2151411636885703,-4.990648395094653,4.963243137257871,-0.514937820526561
3.337660733143293,2.48234027748254,2.221808836906381,-4.958259865108861,4.946359885201247,-0.6060600664894674
3.3340746616450434,2.4560206498552914,2.2012472858181886,-4.95881182935816,4.914930223609736,-1.0581636350095556
3.348760908311854,2.473564115235609,2.2387709175472454,-5.011545824443948,5.007016149864317,-1.1413564420207576
3.354072193254015,2.4870795009716957,2.2381529620933076,-4.990865144672717,5.001423453879824,-1.8642766106437467
3.3410044146828692,2.491939171183905,2.2239548972187557,-4.993517902054607,5.001775265301564,-1.839741185746846
3.328828457113687,2.4756849908188685,2.229865592057222,-4.990521871999754,4.983262039916913,-0.9677656345891722
3.3709933728079164,2.5025914621398857,2.247058533148045,-5.023623958112175,5.035180528147155,-1.2163300139976716
3.33090932370152,2.4708452929222418,2.2217849268967376,-4.963529495572289,4.926810928606888,-0.5200138530251662
3.353753695650219,2.4841001588344067,2.234396441100861,-5.00040304723327,4.990130526942441,-0.7107054754359589
3.349780632752427,2.4741615974310394,2.2061004764759855,-4.9860993769621285,4.973753670404332,-1.2340486124273415
3.367884149725465,2.4736794973473466,2.231861860877361,-5.004817738917034,5.010367511772556,-0.5601840394989407
3.3537473148689263,2.492212076844313,2.2482029247254025,-5.0203763979739895,5.032652032931662,-0.7736729672221927
3.3197176174154146,2.4850160640811714,2.2157337529651757,-4.988875666458715,4.967199731534408,-1.2036187134587042
3.368440527464324,2.498103354305219,2.239501457666901,-5.020611347751766,5.027509634199255,-1.2806293957863453
3.317192142863858,2.463466707470597,2.224721390946365,-4.973808319277703,4.969930972633402,-1.135495644802665
3.3360231068958885,2.491980085490102,2.222095292520044,-4.999161658024131,4.991377392976039,-1.138374709067669
3.3371809642765538,2.4932257876425528,2.259235903264116,-5.0259768592175345,5.015472757863608,-0.9775967771818205
3.3195509600376334,2.485918569641347,2.226779714531413,-4.970448871025781,4.937536923378143,-1.2892843256233117
3.312659777012393,2.447309803991642,2.2097164612431537,-4.9405879668722505,4.879657660605538,-0.608366547125739
3.3288201259396253,2.478637149416436,2.2273398523732424,-4.986151941341565,4.962241360863546,-1.1017921682980842
